source_id,year,venue,doi,url,theme,method,problem,hardware,evidence,relevance,gap,verification
acikmese2007lossless,2007,JGCD,10.2514/1.27553,https://doi.org/10.2514/1.27553,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
acikmese2013,2013,IEEE TCST,10.1109/TCST.2012.2237346,https://doi.org/10.1109/TCST.2012.2237346,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
blackmore2012lossless,2012,Systems and Control Letters,10.1016/j.sysconle.2012.04.010,https://doi.org/10.1016/j.sysconle.2012.04.010,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
blackmore2010minimum,2010,JGCD,10.2514/1.47202,https://doi.org/10.2514/1.47202,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
liu2017trajectory,2017,Astrodynamics,10.1007/s42064-017-0003-8,https://doi.org/10.1007/s42064-017-0003-8,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
carson2013gfold,2011,American Control Conference,10.1109/ACC.2011.5990959,https://doi.org/10.1109/ACC.2011.5990959,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
malyuta2022convex,2021,Annual Reviews in Control,10.1016/j.arcontrol.2021.04.013,https://doi.org/10.1016/j.arcontrol.2021.04.013,lossless convexification,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: formal registry record checked 2026-07-13
mao2018successive,2016,IEEE CDC,10.1109/CDC.2016.7798816,https://doi.org/10.1109/CDC.2016.7798816,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
mao2018continuous,2018,ACC,10.23919/ACC.2018.8430984,https://doi.org/10.23919/ACC.2018.8430984,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
szmuk2020successive,2020,JGCD,10.2514/1.G004549,https://doi.org/10.2514/1.G004549,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
wachter2006implementation,2006,Mathematical Programming,10.1007/s10107-004-0559-y,https://doi.org/10.1007/s10107-004-0559-y,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
andersson2019casadi,2019,Mathematical Programming Computation,10.1007/s12532-018-0139-4,https://doi.org/10.1007/s12532-018-0139-4,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
benson2003direct,1987,JGCD,10.2514/3.20223,https://doi.org/10.2514/3.20223,sequential convex programming,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
domahidi2013ecos,2013,ECC,10.23919/ECC.2013.6669541,https://doi.org/10.23919/ECC.2013.6669541,conic warm start and factorization reuse,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
stellato2020osqp,2020,Mathematical Programming Computation,10.1007/s12532-020-00179-2,https://doi.org/10.1007/s12532-020-00179-2,conic warm start and factorization reuse,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
ferreau2014qpoases,2014,Mathematical Programming Computation,10.1007/s12532-014-0071-1,https://doi.org/10.1007/s12532-014-0071-1,conic warm start and factorization reuse,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
ouyang2015scs,2016,JOTA,10.1007/s10957-016-0892-3,https://doi.org/10.1007/s10957-016-0892-3,conic warm start and factorization reuse,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
davis2004ldl,2005,SuiteSparse project,,https://people.engr.tamu.edu/davis/suitesparse.html,conic warm start and factorization reuse,sparse LDL factorization software,sparse KKT linear algebra,not established,Official author project metadata identifies the sparse LDL package,Adjacent linear algebra source for factorization reuse design,not established from metadata; full-text review required,metadata_verified: Texas A&M author project record checked 2026-07-13
davis2006amd,2006,SIAM,10.1137/1.9780898718881,https://doi.org/10.1137/1.9780898718881,conic warm start and factorization reuse,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
sopasakis2020open,2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.071,https://doi.org/10.1016/j.ifacol.2020.12.071,embedded real-time optimization,embedded optimization code generation,embedded nonconvex optimization,not established,Title and Crossref metadata directly identify embedded optimization code generation,Direct source for embedded optimizer implementation,not established from metadata; full-text review required,metadata_verified: Crossref title author year venue and DOI checked 2026-07-13
mattingley2012cvxgen,2012,Optimization and Engineering,10.1007/s11081-011-9176-9,https://doi.org/10.1007/s11081-011-9176-9,embedded real-time optimization,bibliographic topic classification,optimization or landing study,not established,Title and formal bibliographic metadata establish relevance to the assigned review theme,Provides a traceable source for the theme,not established from metadata; full-text review required,metadata_verified: Crossref DOI record or named institutional record checked 2026-07-13
